,Unnamed: 0,time,discharge,time_diff,discharge_cmm,discharge_vol,cum_discharge_vol,time_min
1079,1079,8105.3221416,39.7764200429,5.85052475,2386.58520257,232.712929927,119411.52018,135
1089,1089,8163.93755875,39.1640997938,5.87107627,2349.84598763,229.935416935,121723.597381,136
1099,1099,8222.77184459,38.4762077032,5.89371995,2308.57246219,226.767992941,124005.783001,137
1109,1109,8281.84046413,37.7438454811,5.9178806,2264.63072887,223.363570942,126254.889417,138
1119,1119,8341.16107343,36.9748550361,5.94395595,2218.49130217,219.776909592,128468.94873,139
1129,1129,8400.75258829,36.1699060259,5.97191711,2170.19436155,216.003680663,130646.119487,140
1139,1139,8460.63483541,35.3182492536,6.00192679,2119.09495522,211.977546371,132784.687929,141
1149,1149,8520.82822699,34.4171541242,6.03387875,2065.02924745,207.668934905,134880.765997,142
1159,1159,8581.38309384,33.466577774,6.0735662,2007.99466644,203.261475598,136933.501186,143
1169,1169,8642.31890834,32.4426626921,6.10979423,1946.55976153,198.217993322,138938.289572,144
1179,1179,8703.61514376,31.4968393003,6.14612736,1889.81035802,193.583585777,140894.628584,145
1189,1189,8765.29446121,30.5780314098,6.186858,1834.68188459,189.181938252,142806.14338,146
1198,1198,8821.17977071,29.7476466789,6.2281581,1784.85880073,185.273046619,144489.265812,147
1208,1208,8883.73412493,28.8018621116,6.27847058,1728.1117267,180.831643917,146317.683412,148
1217,1217,8940.48475819,27.9251700419,6.32802169,1675.51020251,176.711081722,147924.651062,149
1227,1227,9004.09532894,26.9182851081,6.38915873,1615.09710649,171.985196295,149665.91357,150
1236,1236,9061.90186856,25.9735315533,6.45103301,1558.4118932,167.556109437,151191.778709,151
1245,1245,9120.30228953,24.9850183612,6.52045311,1499.10110167,162.913640677,152676.742722,152
1255,1255,9185.98237666,23.821645525,6.60939669,1429.2987315,157.446705083,154276.046554,153
1264,1264,9245.94713635,22.7099795301,6.7071075,1362.59877181,152.318274031,155667.626542,154
1272,1272,9300.0333828,21.680264523,6.80383754,1300.81587138,147.508997639,156864.648287,155
1281,1281,9361.85402968,20.5020494462,6.9226041,1230.12296677,141.927571555,158164.423229,156
1290,1290,9424.79503935,19.3217768297,7.0516112,1159.30660978,136.249657896,159413.429573,157
1298,1298,9481.75645592,18.2821055196,7.17465062,1096.92633118,131.167719701,160480.568015,158
1307,1307,9547.05894111,17.1329556874,7.32217499,1027.97734124,125.450499639,161632.477554,159
1315,1315,9606.25027297,16.1448261918,7.45745988,968.689571508,120.399393595,162613.324204,160
1323,1323,9666.47544518,15.2345052517,7.58208585,914.070315102,115.509326701,163554.216346,161
1331,1331,9727.62276003,14.4583058294,7.68966942,867.498349764,111.179592201,164458.405561,162
1338,1338,9781.82845513,13.8702171176,7.78535907,832.213027056,107.984620639,165223.620979,163
1346,1346,9844.67895044,13.211565378,7.91601926,792.69392268,104.583005987,166072.213377,164
1353,1353,9900.63813486,12.5795805329,8.05608485,754.774831974,101.34216815,166791.577411,165
1361,1361,9965.90336511,11.780850657,8.24067158,706.85103942,97.0821211974,167583.52552,166
1368,1368,10024.2812807,11.0509573137,8.415081,663.057438822,92.9947009223,168246.877607,167
1375,1375,10083.9015966,10.3324680765,8.5939682,619.94808459,88.796902077,168881.045586,168
1382,1382,10144.7732753,9.65562763851,8.7720519,579.337658311,84.6996667721,169486.135702,169
1389,1389,10206.8768358,9.03417805821,8.9461384,542.050683493,80.821007239,170063.366931,170
1395,1395,10261.0628665,8.54964064706,9.091028,512.978438824,77.7250225124,170537.359358,171
1402,1402,10325.3578475,8.03841424723,9.2546398,482.304854834,74.3926284213,171067.936317,172
1408,1408,10381.3625425,7.64208331016,9.3903209,458.52499861,71.7616146269,171504.976965,173
1415,1415,10447.7108559,7.22287099729,9.5435852,433.372259837,68.9320847513,171995.84831,174
1421,1421,10505.4196227,6.896607208,9.6708509,413.79643248,66.6960600244,172401.543653,175
1427,1427,10563.8790401,6.59708066545,9.7944269,395.824839927,64.6146243312,172794.371389,176
1433,1433,10623.0671169,6.32148279981,9.9143495,379.288967989,62.6733898355,173175.207426,177
1439,1439,10682.9619891,6.06744705103,10.0306346,364.046823062,60.8603443237,173544.849873,178
1445,1445,10743.5419189,5.83294256843,10.1433106,349.976554106,59.1653481835,173904.031604,179
1451,1451,10804.7854447,5.61617394091,10.2524376,336.970436455,57.5794728799,174253.429249,180
1457,1457,10866.671633,5.41549949464,10.3581289,324.929969678,56.0944418234,174593.668378,181
1463,1463,10929.1802295,5.2294222171,10.4604819,313.765333026,54.7022764494,174925.325898,182
1468,1468,10981.732059,5.08473397881,10.543332,305.084038729,53.6100384703,175195.537656,183
1474,1474,11045.3316536,4.92196368731,10.6399468,295.317821239,52.3694317845,175512.812091,184
1480,1480,11109.5006724,4.7702289265,10.7336506,286.21373559,51.2019705791,175822.90212,185
1485,1485,11163.397592,4.65126589369,10.8096233,279.075953621,50.2784321789,176076.123384,186
1491,1491,11228.5672468,4.51714212711,10.8983856,271.028527627,49.2295567112,176374.100151,187
